,Analyst_Name,Username,Roles,Join_date,Confidence,Error,Accuracy_Percentile,Points,Points_Estimate,Stocks,Pending_Estimates
80,Analyst_5877488,Analyst_5877488,Non Professional,Jan 2020,7.2,-,-,-,-,-,0
81,JH839712,JH839712,Financial Professional,Dec 2015,5.7,29.2%,34%,-4,-0.3,21,68
82,Buck_731812,Buck_731812,Financial Professional,Oct 2019,6.7,-,-,-,-,-,0
83,"Dave King, CFA",Roth_5,Financial Professional,Oct 2015,5.5,-,-,-,-,-,0
84,Analyst_4982024,Analyst_4982024,Non Professional,Feb 2020,6.8,-,-,-,-,-,0
85,Analyst_2668883,Analyst_2668883,Financial Professional,Apr 2019,7.2,-,-,-,-,-,0
86,TV447703,TV447703,Financial Professional,May 2018,5.9,12.4%,21%,-2,-0.2,9,44
87,Analyst_5039344,Analyst_5039344,Non Professional,Oct 2017,8.6,30.0%,60%,115,11.5,10,1
88,kerry burrell,kerryburrell,Non Professional,Jun 2013,8.0,10.3%,59%,"2,693",16.3,165,6
89,Analyst_8330548,Analyst_8330548,Non Professional,Jan 2020,7.3,-,-,-,-,-,0
90,Analyst_6875051,Analyst_6875051,Non Professional,Mar 2020,7.4,-,-,-,-,-,0
91,Analyst_8075381,Analyst_8075381, ,Sep 2019,8.0,-,-,-,-,-,0
92,Analyst_6530457,Analyst_6530457,Financial Professional,Aug 2019,6.4,-,-,-,-,-,0
93,Analyst_8459943,Analyst_8459943,Non Professional,Dec 2019,7.0,-,-,-,-,-,0
94,Analyst_6356544,Analyst_6356544,Non Professional,Nov 2018,7.8,11.2%,45%,126,11.5,11,1
95,Analyst_1545252,Analyst_1545252, ,Nov 2018,7.7,-,-,-,-,-,0
96,Analyst_4378361,Analyst_4378361,Non Professional,Jan 2020,7.1,-,-,-,-,-,0
97,Analyst_1765893,Analyst_1765893,Non Professional,Feb 2018,7.0,-,-,-,-,-,0
98,Analyst_3133203,Analyst_3133203, ,Jan 2019,7.5,-,-,-,-,-,0
99,Analyst_8382161,Analyst_8382161,Non Professional,Jul 2019,7.2,-,-,-,-,-,0
100,Buck_142278,Buck_142278,Financial Professional,Aug 2015,3.9,-,-,-,-,-,0
101,Analyst_359083,Analyst_359083,Non Professional,Jul 2018,7.8,-,-,-,-,-,0
102,Analyst_4751723,Analyst_4751723,Non Professional,Jan 2019,8.0,-,-,-,-,-,0
