,Analysts,Ticker,Quarter,Reported,Rank,EPS_Points,Revenue_Points,Total_Points
1077,bdolphin,TGT,Q4 2018,"Mar 5, 2019",32 / 62,-2,-3,-5
1078,bdolphin,CRM,Q4 2019,"Mar 4, 2019",193 / 214,-6,-6,-12
1079,bdolphin,JD,Q4 2018,"Feb 28, 2019",23 / 80,7,15,22
1080,Aragorn63,LL,Q1 2021,"May 5, 2021",1 / 8,15,-2,13
1081,Aragorn63,LL,Q4 2020,"Mar 2, 2021",7 / 9,9,-3,6
1082,Aragorn63,NTGR,Q4 2020,"Feb 3, 2021",5 / 5,13,-5,8
1083,Aragorn63,AMD,Q4 2020,"Jan 26, 2021",179 / 274,11,-3,8
1084,Aragorn63,RAD,Q3 2021,"Dec 17, 2020",13 / 17,8,9,17
1085,Aragorn63,TNK,Q3 2020,"Nov 12, 2020",2 / 8,-1,12,11
1086,Aragorn63,DHT,Q3 2020,"Nov 9, 2020",4 / 16,16,14,30
1087,Aragorn63,CLNE,Q3 2020,"Nov 5, 2020",4 / 6,0,-4,-4
1088,Aragorn63,LL,Q3 2020,"Nov 2, 2020",6 / 7,-3,-4,-7
1089,Aragorn63,AMD,Q3 2020,"Oct 27, 2020",112 / 234,17,-3,14
1090,Aragorn63,NTGR,Q3 2020,"Oct 21, 2020",7 / 7,-4,-4,-8
1091,Aragorn63,RAD,Q2 2021,"Sep 24, 2020",11 / 15,8,7,15
1092,Aragorn63,DHT,Q2 2020,"Aug 10, 2020",6 / 24,15,24,39
1093,Aragorn63,LL,Q2 2020,"Aug 5, 2020",5 / 6,-6,-3,-9
1094,Aragorn63,AMD,Q2 2020,"Jul 28, 2020",142 / 267,17,-5,12
1095,Aragorn63,NTGR,Q2 2020,"Jul 22, 2020",11 / 13,-4,-4,-8
1096,Aragorn63,RAD,Q1 2021,"Jun 25, 2020",17 / 21,7,9,16
1097,Aragorn63,LL,Q1 2020,"May 28, 2020",3 / 10,-3,22,19
1098,Aragorn63,TNK,Q1 2020,"May 21, 2020",6 / 20,-3,13,10
1099,Aragorn63,CLNE,Q1 2020,"May 7, 2020",2 / 5,0,9,9
1100,Aragorn63,DHT,Q1 2020,"May 5, 2020",3 / 24,-2,21,19
1101,Aragorn63,AMD,Q1 2020,"Apr 28, 2020",21 / 335,25,-1,24
1102,Aragorn63,RAD,Q4 2020,"Apr 16, 2020",16 / 21,-2,-5,-7
1103,Aragorn63,CLNE,Q4 2019,"Mar 10, 2020",4 / 8,-1,-1,-2
1104,Aragorn63,TNK,Q4 2019,"Feb 27, 2020",1 / 13,25,10,35
1105,Analyst_7545489,JCP,Q4 2018,"Feb 28, 2019",21 / 42,23,-4,19
1106,Analyst_7545489,BBY,Q4 2019,"Feb 27, 2019",11 / 51,10,23,33
1107,Analyst_7545489,HD,Q4 2018,"Feb 26, 2019",93 / 132,6,-1,5
1108,Analyst_7545489,NVDA,Q4 2019,"Feb 14, 2019",220 / 458,17,-1,16
1109,Analyst_7545489,KO,Q4 2018,"Feb 14, 2019",19 / 110,-2,-1,-3
1110,Analyst_7545489,UAA,Q4 2018,"Feb 12, 2019",78 / 140,8,12,20
1111,Analyst_7545489,QSR,Q4 2018,"Feb 11, 2019",7 / 13,9,15,24
1112,Analyst_7545489,TWTR,Q4 2018,"Feb 7, 2019",125 / 242,9,11,20
1113,Analyst_7545489,EA,Q3 2019,"Feb 5, 2019",49 / 115,-1,-2,-3
1114,Analyst_7545489,GE,Q4 2018,"Jan 31, 2019",34 / 118,-1,9,8
1115,Analyst_7545489,MA,Q4 2018,"Jan 31, 2019",47 / 109,16,-2,14
1116,Analyst_7545489,MSFT,Q2 2019,"Jan 30, 2019",16 / 389,25,-1,24
1117,Analyst_7545489,PYPL,Q4 2018,"Jan 30, 2019",125 / 132,-25,-1,-26
1118,Analyst_7545489,V,Q1 2019,"Jan 30, 2019",126 / 178,7,7,14
1119,Analyst_7545489,FB,Q4 2018,"Jan 30, 2019",267 / 479,8,9,17
1120,Analyst_7545489,INTC,Q4 2018,"Jan 24, 2019",164 / 238,11,-3,8
1121,Analyst_6421915,SFIX,Q1 2022,"Dec 7, 2021",27 / 28,-8,-25,-33
1122,Analyst_6421915,SFIX,Q4 2021,"Sep 21, 2021",21 / 21,-4,-20,-24
1123,Analyst_6421915,SFIX,Q3 2021,"Jun 7, 2021",16 / 21,15,-6,9
1124,Analyst_6421915,MIK,Q3 2019,"Dec 5, 2019",11 / 11,-4,-12,-16
1125,Analyst_6421915,ETSY,Q3 2019,"Oct 30, 2019",34 / 35,-13,-20,-33
